Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,,,,,,,,,
46,I2,23/09/03,Genoa,Treviso,0,0,D,0,0,D,1.9,2.62,4.5,2,2.65,4,1.9,2.6,3.8,2,2.625,4,2,2.7,4,1.9,2.7,4,,,,,,,,,,,,,,
47,I2,23/09/03,Messina,Triestina,1,1,D,1,1,D,2.25,2.6,3.4,2.25,2.65,3.25,2.3,2.4,3,2.25,2.6,3.25,2.25,2.62,3.3,2.2,2.6,3.25,,,,,,,,,,,,,,
48,I2,23/09/03,Piacenza,Vicenza,1,0,H,1,0,H,1.8,2.6,5.5,1.8,2.68,5,1.8,2.6,4.2,1.833,2.75,4.5,1.83,2.62,5,1.8,2.7,4.5,,,,,,,,,,,,,,
49,I2,23/09/03,Salernitana,Palermo,1,1,D,0,0,D,3,2.7,2.37,3.15,2.65,2.3,2.7,2.5,2.5,3.2,2.6,2.3,3.25,2.62,2.3,2.8,2.7,2.4,,,,,,,,,,,,,,
50,I2,23/09/03,Venezia,Catania,0,3,A,0,0,D,2.2,2.62,3.4,2.15,2.65,3.5,2.1,2.5,3.3,2.2,2.625,3.4,2.2,2.62,3.4,2.15,2.7,3.2,,,,,,,,,,,,,,
51,I2,23/09/03,Verona,Napoli,1,1,D,0,0,D,2.1,2.62,3.75,2.05,2.65,3.85,1.9,2.6,3.8,2,2.625,4,2.1,2.7,3.6,2.05,2.7,3.45,,,,,,,,,,,,,,
52,I2,27/09/03,Atalanta,Cagliari,2,1,H,2,1,H,2.37,2.5,3.25,2.3,2.45,3.5,2.3,2.4,3,2.25,2.5,3.5,2.4,2.5,3.25,2.25,2.5,3.3,1.95,1.66,2,1.73,-0.25,,,,,,,,,
53,I2,27/09/03,Bari,Albinoleffe,0,1,A,0,1,A,1.66,2.87,5.5,1.55,3.05,6.5,1.65,2.8,4.6,1.571,2.875,6.5,1.61,2.9,6,1.55,3,6,1.95,1.66,1.75,1.97,-0.75,,,,,,,,,
54,I2,27/09/03,Catania,Messina,1,0,H,1,0,H,1.8,2.7,5,1.85,2.6,5,1.9,2.6,3.7,1.833,2.6,5,1.85,2.6,5,1.75,2.7,4.8,1.9,1.7,1.85,1.86,-0.5,,,,,,,,,
55,I2,27/09/03,Fiorentina,Piacenza,2,1,H,1,1,D,2.37,2.5,3.25,2.4,2.42,3.35,2.3,2.4,3,2.4,2.5,3.2,2.4,2.5,3.25,2.3,2.5,3.2,2,1.61,1.77,1.95,0,,,,,,,,,
56,I2,27/09/03,Livorno,Salernitana,2,0,H,1,0,H,1.72,2.75,5.5,1.7,2.75,5.7,1.75,2.7,4.2,1.727,2.8,5,1.72,2.8,5.25,1.7,2.75,5.1,1.9,1.7,1.95,1.77,-0.75,,,,,,,,,
57,I2,27/09/03,Napoli,Ascoli,1,1,D,0,0,D,1.9,2.62,4.5,1.82,2.65,5,1.9,2.6,3.7,1.909,2.6,4.5,1.9,2.6,4.6,1.8,2.7,4.5,2,1.61,,,,,,,,,,,,
58,I2,27/09/03,Pescara,Triestina,1,0,H,1,0,H,2.37,2.5,3.25,2.4,2.5,3.2,2.4,2.4,2.9,2.4,2.6,3,2.4,2.5,3.25,2.3,2.6,3.05,1.95,1.66,1.77,1.95,0,,,,,,,,,
59,I2,27/09/03,Ternana,Genoa,1,0,H,0,0,D,1.72,2.75,5.5,1.75,2.67,5.5,1.75,2.7,4.2,1.833,2.75,4.5,1.75,2.75,5.25,1.75,2.75,4.7,1.9,1.7,1.85,1.86,-0.75,,,,,,,,,
60,I2,27/09/03,Torino,Palermo,2,1,H,2,0,H,2.25,2.6,3.4,2.3,2.45,3.5,2.3,2.4,3,2.25,2.5,3.5,2.3,2.6,3.25,2.2,2.5,3.4,1.95,1.66,2,1.73,-0.25,,,,,,,,,
61,I2,27/09/03,Treviso,Como,2,0,H,2,0,H,1.9,2.62,4.5,1.8,2.62,5.25,1.8,2.7,3.9,1.909,2.6,4.5,1.85,2.62,4.8,1.9,2.6,4.2,2,1.61,1.8,1.91,-0.5,,,,,,,,,
62,I2,27/09/03,Venezia,Avellino,2,1,H,1,0,H,1.9,2.87,4,2,2.75,3.8,2,2.6,3.4,2.1,2.625,3.6,2,2.75,3.8,1.9,2.7,4,1.9,1.7,1.87,1.81,-0.25,,,,,,,,,
63,I2,27/09/03,Vicenza,Verona,1,2,A,1,1,D,2.1,2.62,3.75,2.2,2.5,3.65,2.2,2.5,3.1,2.2,2.6,3.4,2.2,2.62,3.4,2.05,2.6,3.65,1.95,1.66,1.92,1.79,-0.25,,,,,,,,,
64,I2,04/10/03,Albinoleffe,Venezia,0,0,D,0,0,D,2.1,2.62,3.8,2.15,2.6,3.7,2.1,2.6,3.2,2,2.75,3.75,2.1,2.62,3.75,2.15,2.7,3.3,2.1,1.56,1.85,1.85,-0.25,,,,,,,,,
65,I2,04/10/03,Ascoli,Livorno,0,1,A,0,0,D,2.2,2.6,3.5,2.3,2.5,3.5,2.1,2.6,3.2,2.3,2.6,3.2,2.2,2.62,3.4,2,2.7,3.75,2,1.61,1.95,1.75,-0.25,,,,,,,,,
66,I2,04/10/03,Avellino,Vicenza,0,1,A,0,1,A,2,2.75,3.8,2.1,2.6,3.7,2.1,2.6,3.2,2.25,2.625,3.25,2.1,2.62,3.75,2.3,2.6,3.2,2,1.61,1.75,1.95,-0.25,,,,,,,,,
67,I2,04/10/03,Como,Piacenza,2,2,D,0,2,A,2.62,2.75,2.62,2.65,2.5,2.85,2.5,2.5,2.7,2.7,2.625,2.625,2.5,2.62,2.9,2.25,2.65,3.2,2.1,1.56,1.8,1.9,0,,,,,,,,,
68,I2,04/10/03,Genoa,Bari,2,0,H,0,0,D,2.1,2.6,3.8,2.1,2.6,3.75,2.1,2.6,3.2,2.1,2.625,3.6,2.1,2.62,3.75,2.35,2.6,3.1,2.1,1.56,1.8,1.9,-0.25,,,,,,,,,
69,I2,04/10/03,Messina,Cagliari,2,2,D,1,0,H,2.75,2.5,2.75,2.65,2.5,2.85,2.6,2.5,2.6,2.625,2.625,2.7,2.6,2.6,2.8,2.7,2.6,2.6,2,1.61,1.8,1.9,0,,,,,,,,,
70,I2,04/10/03,Palermo,Pescara,2,1,H,1,0,H,1.44,3.5,7,1.4,3.5,8,1.45,3.5,5.5,1.364,3.6,8.5,1.44,3.5,7,1.5,3.5,5.5,1.9,1.7,1.75,1.95,-1,,,,,,,,,
71,I2,04/10/03,Salernitana,Fiorentina,1,0,H,1,0,H,2.4,2.6,3.1,2.5,2.5,3.1,2.4,2.5,2.8,2.4,2.625,3,2.4,2.5,3.2,2.45,2.6,2.9,2.1,1.56,1.75,1.95,0,,,,,,,,,
72,I2,04/10/03,Ternana,Torino,0,0,D,0,0,D,2.1,2.6,3.8,2.35,2.5,3.3,2.4,2.6,2.7,2.5,2.625,2.875,2.3,2.6,3.25,2.25,2.65,3.2,1.95,1.66,2,1.7,-0.25,,,,,,,,,
73,I2,04/10/03,Treviso,Catania,2,1,H,0,0,D,2.37,2.5,3.25,2.25,2.55,3.45,2.2,2.5,3.1,2.3,2.6,3.2,2.25,2.6,3.4,2.25,2.65,3.2,2.1,1.56,2,1.7,-0.25,,,,,,,,,
74,I2,04/10/03,Triestina,Napoli,0,0,D,0,0,D,1.9,2.6,4.5,2,2.65,4,2,2.6,3.4,2,2.75,3.75,2,2.75,3.8,2.1,2.7,3.5,2,1.61,2,1.7,-0.5,,,,,,,,,
75,I2,04/10/03,Verona,Atalanta,1,2,A,0,2,A,2.37,2.62,3.1,2.5,2.5,3.1,2.4,2.5,2.8,2.4,2.625,3,2.4,2.6,3.1,2.3,2.6,3.2,2,1.61,1.95,1.75,-0.25,,,,,,,,,
76,I2,08/10/03,Ascoli,Genoa,0,1,A,0,0,D,2.2,2.62,3.4,2.25,2.6,3.35,2.2,2.5,3.1,2.2,2.6,3.4,2.2,2.6,3.5,1.85,2.7,4.5,1.9,1.7,1.95,1.75,-0.25,,,,,,,,,
77,I2,08/10/03,Atalanta,Venezia,0,0,D,0,0,D,1.44,3.6,6.5,1.38,3.65,7.75,1.45,3.2,5.7,1.4,3.4,8,1.44,3.5,7,1.45,3.4,6.5,1.9,1.7,1.85,1.85,-1.25,,,,,,,,,
78,I2,08/10/03,Livorno,Messina,3,0,H,3,0,H,1.72,2.75,5.5,1.7,2.75,5.7,1.75,2.7,4.2,1.8,2.62,5,1.75,2.8,5,1.65,2.9,5.5,1.9,1.7,1.7,2,-0.5,,,,,,,,,
79,I2,08/10/03,Palermo,Piacenza,1,1,D,0,0,D,1.9,2.62,4.5,1.8,2.68,5,1.8,2.6,4.1,1.9,2.6,4.5,1.85,2.75,4.5,1.75,2.8,4.8,1.95,1.66,1.8,1.9,-0.5,,,,,,,,,
80,I2,08/10/03,Pescara,Fiorentina,0,0,D,0,0,D,2.37,2.5,3.25,2.3,2.55,3.3,2.3,2.5,2.9,2.4,2.6,3,2.3,2.6,3.25,2.2,2.5,3.6,2.1,1.56,2,1.7,-0.25,,,,,,,,,
81,I2,08/10/03,Ternana,Verona,2,0,H,2,0,H,1.9,2.62,4.5,1.75,2.67,5.5,1.85,2.6,3.9,1.75,2.62,5.5,1.85,2.62,5,1.85,2.7,4.5,1.95,1.66,1.75,1.95,-0.5,,,,,,,,,
82,I2,08/10/03,Torino,Salernitana,0,1,A,0,0,D,1.44,3.5,7,1.38,3.65,7.75,1.4,3.2,6.5,1.44,3.25,7.5,1.44,3.6,6.5,1.35,4,7,1.9,1.7,1.85,1.85,-1.25,,,,,,,,,
83,I2,08/10/03,Treviso,Albinoleffe,2,1,H,0,1,A,1.72,2.75,5.5,1.65,2.8,6,1.75,2.7,4.2,1.67,2.75,6,1.72,2.75,5.5,1.8,2.7,4.8,1.95,1.66,1.9,1.8,-0.75,,,,,,,,,
84,I2,08/10/03,Triestina,Avellino,2,1,H,1,0,H,1.72,2.87,5,1.68,3,5,1.7,2.7,4.4,1.73,2.8,5,1.72,2.8,5.25,1.65,2.9,5.5,1.95,1.66,1.95,1.75,-0.75,,,,,,,,,
85,I2,08/10/03,Vicenza,Bari,1,1,D,0,0,D,2,2.62,4,1.9,2.63,4.5,2,2.5,3.7,1.9,2.6,4.5,1.9,2.62,4.5,1.85,2.7,4.5,1.95,1.66,1.9,1.8,-0.25,,,,,,,,,
86,I2,12/10/03,Atalanta,Triestina,4,1,H,1,1,D,1.66,2.87,5.5,1.63,2.9,6,1.65,2.8,4.6,1.62,2.88,6,1.62,2.9,6,1.6,2.9,6,2,1.61,1.87,1.84,-0.75,,,,,,,,,3020
87,I2,12/10/03,Avellino,Messina,0,1,A,0,0,D,2,2.75,3.8,2.02,2.65,4,2.1,2.6,3.3,2.1,2.75,3.4,2,2.7,4,1.9,2.75,4.1,2.1,1.56,1.79,1.92,-0.25,,,,,,,,,0000
88,I2,12/10/03,Bari,Ascoli,1,2,A,0,1,A,1.8,2.75,5,1.8,2.7,5,1.8,2.6,4.1,1.8,2.62,5,1.8,2.7,5,1.75,2.8,4.8,2.2,1.51,1.8,1.91,-0.5,,,,,,,,,1110
89,I2,12/10/03,Cagliari,Ternana,3,0,H,2,0,H,1.8,2.75,5,1.8,2.7,4.95,1.8,2.7,3.9,1.75,2.75,5,1.8,2.7,5,1.8,2.8,4.5,2.1,1.56,1.8,1.91,-0.5,,,,,,,,,1101
90,I2,12/10/03,Catania,Vicenza,1,1,D,1,0,H,1.8,2.87,4.5,1.8,2.8,4.65,1.75,2.7,4.2,1.75,2.75,5,1.8,2.8,4.6,1.8,2.8,4.5,2.1,1.56,1.8,1.91,-0.5,,,,,,,,,
91,I2,12/10/03,Como,Palermo,0,1,A,0,0,D,2.75,2.62,2.62,2.8,2.6,2.6,2.75,2.5,2.45,2.75,2.6,2.62,2.8,2.62,2.6,2.75,2.6,2.6,2.1,1.56,1.85,1.85,0,,,,,,,,,
92,I2,12/10/03,Fiorentina,Treviso,2,0,H,1,0,H,2.3,2.62,3.2,2.25,2.6,3.35,2.2,2.5,3.3,2.2,2.6,3.4,2.25,2.6,3.4,2.2,2.6,3.4,2.2,1.51,2,1.73,-0.25,,,,,,,,,
93,I2,12/10/03,Napoli,Livorno,0,0,D,0,0,D,2.37,2.5,3.25,2.35,2.5,3.3,2.4,2.5,2.8,2.4,2.6,3,2.38,2.5,3.25,2.45,2.6,2.9,2.2,1.51,1.77,1.95,0,,,,,,,,,
94,I2,12/10/03,Pescara,Torino,2,1,H,1,1,D,2.75,2.5,2.75,2.75,2.55,2.7,2.6,2.5,2.6,2.62,2.5,2.8,2.7,2.62,2.7,2.6,2.6,2.7,2.2,1.51,1.85,1.85,0,,,,,,,,,
95,I2,12/10/03,Piacenza,Salernitana,1,0,H,1,0,H,1.57,3,6.5,1.6,3,5.85,1.65,2.9,4.4,1.62,2.75,6.5,1.6,3,6,1.65,2.9,5.5,2.1,1.56,1.87,1.84,-0.75,,,,,,,,,
96,I2,12/10/03,Venezia,Genoa,2,2,D,2,0,H,2.5,2.5,3.1,2.4,2.6,3.1,2.4,2.5,2.8,2.5,2.6,2.88,2.38,2.6,3.1,2.2,2.7,3.25,2.2,1.51,1.77,1.95,0,,,,,,,,,
97,I2,12/10/03,Verona,Albinoleffe,2,3,A,1,2,A,1.8,2.75,5,1.8,2.65,5.2,1.8,2.6,4.1,1.8,2.62,5,1.75,2.8,5,1.7,2.9,5,2.2,1.51,1.8,1.91,-0.5,,,,,,,,,
98,I2,15/10/03,Ascoli,Venezia,2,1,H,2,0,H,2,2.7,4,2.1,2.5,4,2.1,2.6,3.3,2,2.6,4,2,2.7,4,1.9,2.7,4,2.2,1.51,,,,,,,,,,,,
99,I2,15/10/03,Atalanta,Pescara,1,0,H,0,0,D,1.44,3.5,7,1.45,3.2,8,1.45,3.2,5.7,1.5,3.2,6.5,1.44,3.4,7,1.45,3.45,6,1.85,1.74,,,,,,,,,,,,
100,I2,15/10/03,Genoa,Albinoleffe,4,2,H,1,0,H,1.72,2.87,5,1.6,3,6,1.75,2.7,4.2,1.727,2.8,5,1.73,2.8,5.25,1.8,2.8,4.25,2,1.61,,,,,,,,,,,,
101,I2,15/10/03,Livorno,Bari,1,1,D,0,0,D,1.72,2.75,5.5,1.65,2.93,5.5,1.7,2.7,4.4,1.727,2.8,5,1.7,2.8,5.5,1.65,2.8,5.5,2,1.61,,,,,,,,,,,,
102,I2,15/10/03,Messina,Piacenza,2,0,H,1,0,H,2.5,2.6,2.9,2.42,2.45,3.25,2.4,2.5,2.8,2.6,2.6,2.75,2.5,2.5,3.1,2.45,2.5,2.95,2.3,1.46,,,,,,,,,,,,
103,I2,15/10/03,Palermo,Fiorentina,2,0,H,2,0,H,1.61,3.1,5.5,1.65,2.8,6,1.65,2.8,4.6,1.727,3,4.5,1.67,3,5.2,1.65,2.8,5.5,2.1,1.56,,,,,,,,,,,,
104,I2,15/10/03,Salernitana,Avellino,1,0,H,1,0,H,1.72,2.87,5,1.7,2.93,5,1.7,2.7,4.4,1.727,2.8,5,1.8,2.8,4.75,1.8,2.8,4.25,2.1,1.56,,,,,,,,,,,,
105,I2,15/10/03,Ternana,Catania,3,1,H,1,1,D,1.83,2.8,4.5,1.85,2.65,4.75,1.85,2.7,3.7,1.833,2.75,4.5,1.85,2.75,4.5,1.8,2.7,4.5,2.1,1.56,,,,,,,,,,,,
106,I2,15/10/03,Torino,Cagliari,4,2,H,2,0,H,2.1,2.62,3.75,2.25,2.55,3.5,2.2,2.6,3,2.25,2.5,3.4,2.2,2.6,3.5,2.1,2.6,3.5,2.2,1.51,,,,,,,,,,,,
107,I2,15/10/03,Treviso,Napoli,0,1,A,0,0,D,1.9,2.62,4.5,1.85,2.65,4.75,2,2.6,3.5,1.909,2.625,4.333,2,2.7,4,2.1,2.5,3.7,2.2,1.51,,,,,,,,,,,,
108,I2,15/10/03,Triestina,Verona,2,2,D,0,0,D,1.9,2.7,4.33,1.9,2.63,4.5,1.9,2.6,3.8,1.833,2.75,4.5,1.91,2.75,4.2,1.85,2.6,4.5,2,1.61,,,,,,,,,,,,
109,I2,15/10/03,Vicenza,Como,0,1,A,0,1,A,1.8,2.7,5,1.85,2.65,4.75,1.8,2.7,3.9,1.909,2.625,4.333,1.83,2.8,4.5,1.7,2.8,5,2.1,1.56,,,,,,,,,,,,
110,I2,18/10/03,Albinoleffe,Catania,1,1,D,0,0,D,2.25,2.62,3.4,2.3,2.55,3.3,2.2,2.7,2.9,2.25,2.5,3.4,2.25,2.6,3.4,2.2,2.65,3.2,1.95,1.66,1.7,2.05,0,,,,,,,,,
111,I2,18/10/03,Avellino,Ascoli,2,2,D,0,1,A,2.37,2.75,3,2.4,2.65,3,2.4,2.7,2.6,2.375,2.625,3,2.37,2.62,3.1,2.35,2.6,2.95,2.1,1.56,1.8,2,0,,,,,,,,,
